name,inventory,min_price,max_price,current_price,rating,strategy,slug,product(fk),discount
"TCL 43"" Roku Smart TV",547,22000,40500,34950,4,2,tcl_43_roku_smart_tv-24,95,5550
"TCL 43"" Roku Smart TV",326,24250,41625,36413,5,2,tcl_43_roku_smart_tv-25,96,5212
"TCL 43"" Roku Smart TV",508,24250,40125,34172,4,5,tcl_43_roku_smart_tv-26,97,5953
"TCL 43"" Roku Smart TV",753,21750,37875,28442,2,3,tcl_43_roku_smart_tv-27,98,9433
"TCL 43"" Roku Smart TV",213,22250,39375,32183,3,2,tcl_43_roku_smart_tv-28,99,7192
"Vizio 60"" 4K HDR Smart TV",449,40950,76950,63450,5,5,vizio_60_4k_hdr_smart_tv-0,100,13500
"Vizio 60"" 4K HDR Smart TV",579,43200,74250,63383,5,4,vizio_60_4k_hdr_smart_tv-1,101,10867
"Vizio 60"" 4K HDR Smart TV",760,38700,74250,53454,2,3,vizio_60_4k_hdr_smart_tv-2,102,20796
"Vizio 60"" 4K HDR Smart TV",122,44550,76275,64061,3,1,vizio_60_4k_hdr_smart_tv-3,103,12214
"Vizio 60"" 4K HDR Smart TV",438,38250,70200,48634,2,5,vizio_60_4k_hdr_smart_tv-4,104,21566
"Vizio 60"" 4K HDR Smart TV",834,44100,70200,48276,1,4,vizio_60_4k_hdr_smart_tv-5,105,21924
"Vizio 60"" 4K HDR Smart TV",664,43650,76275,67304,4,1,vizio_60_4k_hdr_smart_tv-6,106,8971
"Vizio 60"" 4K HDR Smart TV",979,44550,76275,47723,1,5,vizio_60_4k_hdr_smart_tv-7,107,28552
"Vizio 60"" 4K HDR Smart TV",256,42750,77625,60362,2,1,vizio_60_4k_hdr_smart_tv-8,108,17263
"Vizio 60"" 4K HDR Smart TV",226,44100,74925,52731,1,2,vizio_60_4k_hdr_smart_tv-9,109,22194
"Vizio 60"" 4K HDR Smart TV",399,38250,72900,59907,4,5,vizio_60_4k_hdr_smart_tv-10,110,12993
"Vizio 60"" 4K HDR Smart TV",143,44550,75600,59299,3,5,vizio_60_4k_hdr_smart_tv-11,111,16301
"Vizio 60"" 4K HDR Smart TV",329,41400,69525,55604,2,1,vizio_60_4k_hdr_smart_tv-12,112,13921
"Vizio 60"" 4K HDR Smart TV",910,42750,74250,64013,5,3,vizio_60_4k_hdr_smart_tv-13,113,10237
"Vizio 60"" 4K HDR Smart TV",463,38250,74925,64840,4,1,vizio_60_4k_hdr_smart_tv-14,114,10085
"Vizio 60"" 4K HDR Smart TV",109,42300,75600,65610,5,2,vizio_60_4k_hdr_smart_tv-15,115,9990
"Vizio 60"" 4K HDR Smart TV",356,38700,70875,58810,5,5,vizio_60_4k_hdr_smart_tv-16,116,12065
"Vizio 60"" 4K HDR Smart TV",665,43200,70875,63265,4,1,vizio_60_4k_hdr_smart_tv-17,117,7610
"Vizio 60"" 4K HDR Smart TV",92,42750,68175,61184,4,1,vizio_60_4k_hdr_smart_tv-18,118,6991
"Vizio 60"" 4K HDR Smart TV",950,40050,77625,67292,4,1,vizio_60_4k_hdr_smart_tv-19,119,10333
"Hisense 55"" 4K Android TV",286,37200,66600,40140,1,5,hisense_55_4k_android_tv-0,120,26460
"Hisense 55"" 4K Android TV",696,36800,60600,52865,5,3,hisense_55_4k_android_tv-1,121,7735
"Hisense 55"" 4K Android TV",893,36400,63600,50136,2,1,hisense_55_4k_android_tv-2,122,13464
"Hisense 55"" 4K Android TV",449,36800,63600,45510,2,5,hisense_55_4k_android_tv-3,123,18090
"Hisense 55"" 4K Android TV",890,34000,60600,47566,3,4,hisense_55_4k_android_tv-4,124,13034
"Hisense 55"" 4K Android TV",494,35600,61200,44304,1,1,hisense_55_4k_android_tv-5,125,16896
"Hisense 55"" 4K Android TV",618,39200,67800,55788,3,2,hisense_55_4k_android_tv-6,126,12012
"Hisense 55"" 4K Android TV",376,39600,66600,43920,1,4,hisense_55_4k_android_tv-7,127,22680
"Hisense 55"" 4K Android TV",424,38400,61200,48888,2,2,hisense_55_4k_android_tv-8,128,12312
"Hisense 55"" 4K Android TV",52,39600,67200,56850,4,5,hisense_55_4k_android_tv-9,129,10350
"Hisense 55"" 4K Android TV",341,35200,66000,57530,4,1,hisense_55_4k_android_tv-10,130,8470
"Hisense 55"" 4K Android TV",725,39600,67800,52995,3,5,hisense_55_4k_android_tv-11,131,14805
"Hisense 55"" 4K Android TV",702,34400,61200,51820,5,4,hisense_55_4k_android_tv-12,132,9380
"Hisense 55"" 4K Android TV",673,39200,68400,59640,4,2,hisense_55_4k_android_tv-13,133,8760
"Hisense 55"" 4K Android TV",685,35200,67800,54108,3,2,hisense_55_4k_android_tv-14,134,13692
"Hisense 55"" 4K Android TV",122,34800,66600,52131,3,3,hisense_55_4k_android_tv-15,135,14469
"Hisense 55"" 4K Android TV",611,35200,66600,42108,1,3,hisense_55_4k_android_tv-16,136,24492
"Hisense 55"" 4K Android TV",619,38800,65400,58085,4,1,hisense_55_4k_android_tv-17,137,7315
"Hisense 55"" 4K Android TV",492,36400,66000,56380,4,3,hisense_55_4k_android_tv-18,138,9620
"Hisense 55"" 4K Android TV",669,34000,60600,42645,2,5,hisense_55_4k_android_tv-19,139,17955
"Hisense 55"" 4K Android TV",498,36400,66600,50292,2,2,hisense_55_4k_android_tv-20,140,16308
"Hisense 55"" 4K Android TV",980,38800,69000,59940,4,2,hisense_55_4k_android_tv-21,141,9060
"Hisense 55"" 4K Android TV",129,34400,66600,57745,4,1,hisense_55_4k_android_tv-22,142,8855
"Philips 70"" 4K HDR TV",217,68600,111300,80556,1,2,philips_70_4k_hdr_tv-0,143,30744
"Philips 70"" 4K HDR TV",854,63000,119700,81428,2,5,philips_70_4k_hdr_tv-1,144,38272
"Philips 70"" 4K HDR TV",33,63700,113400,98490,5,2,philips_70_4k_hdr_tv-2,145,14910
"Philips 70"" 4K HDR TV",684,65100,113400,100118,5,1,philips_70_4k_hdr_tv-3,146,13282
"Philips 70"" 4K HDR TV",477,64400,119700,89838,2,2,philips_70_4k_hdr_tv-4,147,29862
"Philips 70"" 4K HDR TV",897,69300,111300,98700,5,2,philips_70_4k_hdr_tv-5,148,12600
"Philips 70"" 4K HDR TV",472,62300,111300,73080,1,3,philips_70_4k_hdr_tv-6,149,38220
"Philips 70"" 4K HDR TV",988,67900,108150,76755,1,3,philips_70_4k_hdr_tv-7,150,31395
"Philips 70"" 4K HDR TV",113,68600,114450,73185,1,5,philips_70_4k_hdr_tv-8,151,41265
"Philips 70"" 4K HDR TV",830,63000,110250,86862,2,1,philips_70_4k_hdr_tv-9,152,23388
"Philips 70"" 4K HDR TV",610,61600,109200,83496,2,2,philips_70_4k_hdr_tv-10,153,25704
"Philips 70"" 4K HDR TV",226,66500,118650,71715,1,5,philips_70_4k_hdr_tv-11,154,46935
"Philips 70"" 4K HDR TV",552,65100,114450,83360,2,4,philips_70_4k_hdr_tv-12,155,31090
"Philips 70"" 4K HDR TV",29,60200,117600,97510,5,4,philips_70_4k_hdr_tv-13,156,20090
"Philips 70"" 4K HDR TV",813,64400,112350,93890,3,1,philips_70_4k_hdr_tv-14,157,18460
"Philips 70"" 4K HDR TV",36,69300,115500,100485,4,3,philips_70_4k_hdr_tv-15,158,15015
"Philips 70"" 4K HDR TV",585,67900,111300,80052,1,2,philips_70_4k_hdr_tv-16,159,31248
"Philips 70"" 4K HDR TV",173,65100,108150,69405,1,5,philips_70_4k_hdr_tv-17,160,38745
"Philips 70"" 4K HDR TV",953,60900,109200,77322,1,1,philips_70_4k_hdr_tv-18,161,31878
"Philips 70"" 4K HDR TV",597,59500,114450,82305,2,3,philips_70_4k_hdr_tv-19,162,32145
"Philips 70"" 4K HDR TV",631,69300,116550,103557,4,1,philips_70_4k_hdr_tv-20,163,12993
"Philips 70"" 4K HDR TV",556,65100,110250,83838,2,3,philips_70_4k_hdr_tv-21,164,26412
"Panasonic 65"" 4K Ultra HD TV",821,59400,98100,70236,1,2,panasonic_65_4k_ultra_hd_tv-0,165,27864
"Panasonic 65"" 4K Ultra HD TV",755,54000,97200,82080,5,4,panasonic_65_4k_ultra_hd_tv-1,166,15120
"Panasonic 65"" 4K Ultra HD TV",563,51000,94500,79275,4,4,panasonic_65_4k_ultra_hd_tv-2,167,15225
"Panasonic 65"" 4K Ultra HD TV",922,52800,103500,83981,3,1,panasonic_65_4k_ultra_hd_tv-3,168,19519
"Panasonic 65"" 4K Ultra HD TV",802,52200,96300,72486,2,2,panasonic_65_4k_ultra_hd_tv-4,169,23814
"Panasonic 65"" 4K Ultra HD TV",488,57600,92700,83048,4,1,panasonic_65_4k_ultra_hd_tv-5,170,9652
"Panasonic 65"" 4K Ultra HD TV",870,57600,93600,82800,4,2,panasonic_65_4k_ultra_hd_tv-6,171,10800
"Panasonic 65"" 4K Ultra HD TV",735,55200,94500,67973,2,5,panasonic_65_4k_ultra_hd_tv-7,172,26527
"Panasonic 65"" 4K Ultra HD TV",786,53400,101700,87210,5,2,panasonic_65_4k_ultra_hd_tv-8,173,14490
"Panasonic 65"" 4K Ultra HD TV",988,57600,94500,69593,2,5,panasonic_65_4k_ultra_hd_tv-9,174,24907
"Panasonic 65"" 4K Ultra HD TV",93,51600,96300,79538,4,5,panasonic_65_4k_ultra_hd_tv-10,175,16762
"Panasonic 65"" 4K Ultra HD TV",786,57000,99000,86400,5,2,panasonic_65_4k_ultra_hd_tv-11,176,12600
"Panasonic 65"" 4K Ultra HD TV",120,52800,99000,60192,1,4,panasonic_65_4k_ultra_hd_tv-12,177,38808
"Panasonic 65"" 4K Ultra HD TV",106,55800,94500,71861,2,3,panasonic_65_4k_ultra_hd_tv-13,178,22639
"Panasonic 65"" 4K Ultra HD TV",166,51600,93600,65880,1,1,panasonic_65_4k_ultra_hd_tv-14,179,27720
"Panasonic 65"" 4K Ultra HD TV",745,55800,99900,83363,4,5,panasonic_65_4k_ultra_hd_tv-15,180,16537
"Panasonic 65"" 4K Ultra HD TV",612,56400,94500,75641,2,1,panasonic_65_4k_ultra_hd_tv-16,181,18859
"Panasonic 65"" 4K Ultra HD TV",527,58800,103500,86291,3,1,panasonic_65_4k_ultra_hd_tv-17,182,17209
"Panasonic 65"" 4K Ultra HD TV",702,53400,96300,62838,1,3,panasonic_65_4k_ultra_hd_tv-18,183,33462
"Panasonic 65"" 4K Ultra HD TV",126,54000,101700,78089,2,1,panasonic_65_4k_ultra_hd_tv-19,184,23611
"Panasonic 65"" 4K Ultra HD TV",675,52200,99000,59688,1,4,panasonic_65_4k_ultra_hd_tv-20,185,39312
"Panasonic 65"" 4K Ultra HD TV",685,57000,101700,69516,1,2,panasonic_65_4k_ultra_hd_tv-21,186,32184
"Panasonic 65"" 4K Ultra HD TV",619,58800,99000,75483,2,3,panasonic_65_4k_ultra_hd_tv-22,187,23517
"Panasonic 65"" 4K Ultra HD TV",874,51600,102600,59760,1,4,panasonic_65_4k_ultra_hd_tv-23,188,42840
"Panasonic 65"" 4K Ultra HD TV",891,56400,98100,85590,4,2,panasonic_65_4k_ultra_hd_tv-24,189,12510
"Panasonic 65"" 4K Ultra HD TV",568,59400,90900,62550,1,5,panasonic_65_4k_ultra_hd_tv-25,190,28350
"Panasonic 65"" 4K Ultra HD TV",881,57600,99000,61740,1,5,panasonic_65_4k_ultra_hd_tv-26,191,37260
"Panasonic 65"" 4K Ultra HD TV",920,57000,101700,81362,3,3,panasonic_65_4k_ultra_hd_tv-27,192,20338
"Sharp 50"" 4K Android TV",598,34300,59325,51818,5,2,sharp_50_4k_android_tv-0,193,7507
"Sharp 50"" 4K Android TV",69,32550,57750,48930,5,4,sharp_50_4k_android_tv-1,194,8820
"Sharp 50"" 4K Android TV",581,31500,58800,50610,4,2,sharp_50_4k_android_tv-2,195,8190
"Sharp 50"" 4K Android TV",850,33250,55650,47250,5,5,sharp_50_4k_android_tv-3,196,8400
"Sharp 50"" 4K Android TV",761,32900,59325,45452,3,5,sharp_50_4k_android_tv-4,197,13873
"Sharp 50"" 4K Android TV",935,33600,60375,45917,2,2,sharp_50_4k_android_tv-5,198,14458
"Sharp 50"" 4K Android TV",585,34650,54075,47277,4,4,sharp_50_4k_android_tv-6,199,6798
"Sharp 50"" 4K Android TV",553,33250,60375,40845,1,2,sharp_50_4k_android_tv-7,200,19530
"Sharp 50"" 4K Android TV",486,29750,54075,46778,5,2,sharp_50_4k_android_tv-8,201,7297
"Sharp 50"" 4K Android TV",589,34650,57750,42158,2,5,sharp_50_4k_android_tv-9,202,15592
"Sharp 50"" 4K Android TV",186,33600,53550,47067,5,3,sharp_50_4k_android_tv-10,203,6483
"Sharp 50"" 4K Android TV",515,30100,55650,48624,5,1,sharp_50_4k_android_tv-11,204,7026
"Sharp 50"" 4K Android TV",67,33950,60375,52448,5,2,sharp_50_4k_android_tv-12,205,7927
"Sharp 50"" 4K Android TV",821,30450,58275,39494,2,5,sharp_50_4k_android_tv-13,206,18781
"Sharp 50"" 4K Android TV",973,34650,57750,41118,1,2,sharp_50_4k_android_tv-14,207,16632
"Sharp 50"" 4K Android TV",50,33950,56175,49508,5,2,sharp_50_4k_android_tv-15,208,6667
"Sharp 50"" 4K Android TV",211,34300,57225,45190,3,5,sharp_50_4k_android_tv-16,209,12035
"Sharp 50"" 4K Android TV",470,31500,54075,47867,4,1,sharp_50_4k_android_tv-17,210,6208
"Sharp 50"" 4K Android TV",583,34650,60375,47770,3,4,sharp_50_4k_android_tv-18,211,12605
"Sharp 50"" 4K Android TV",883,33250,58800,49858,4,4,sharp_50_4k_android_tv-19,212,8942
"Sharp 50"" 4K Android TV",599,30100,59850,36645,1,3,sharp_50_4k_android_tv-20,213,23205
"Sharp 50"" 4K Android TV",973,33250,55650,38178,1,3,sharp_50_4k_android_tv-21,214,17472
"Sharp 50"" 4K Android TV",130,33600,57225,44822,3,5,sharp_50_4k_android_tv-22,215,12403
"Sharp 50"" 4K Android TV",520,31150,58800,49123,5,4,sharp_50_4k_android_tv-23,216,9677
"Toshiba 55"" Fire TV Edition",523,36400,66600,57540,4,2,toshiba_55_fire_tv_edition-0,217,9060
"Toshiba 55"" Fire TV Edition",318,36800,66600,56915,4,3,toshiba_55_fire_tv_edition-1,218,9685
"Toshiba 55"" Fire TV Edition",479,35200,65400,38220,1,5,toshiba_55_fire_tv_edition-2,219,27180
"Toshiba 55"" Fire TV Edition",360,36800,66600,56170,5,4,toshiba_55_fire_tv_edition-3,220,10430
"Toshiba 55"" Fire TV Edition",645,34000,66000,57200,5,1,toshiba_55_fire_tv_edition-4,221,8800
"Toshiba 55"" Fire TV Edition",708,38400,61800,48111,2,3,toshiba_55_fire_tv_edition-5,222,13689
"Toshiba 55"" Fire TV Edition",250,37600,63000,51443,3,3,toshiba_55_fire_tv_edition-6,223,11557
"Toshiba 55"" Fire TV Edition",246,34800,69000,50532,2,2,toshiba_55_fire_tv_edition-7,224,18468
"Toshiba 55"" Fire TV Edition",826,36000,64200,53625,4,5,toshiba_55_fire_tv_edition-8,225,10575
"Toshiba 55"" Fire TV Edition",525,35200,63600,51672,3,2,toshiba_55_fire_tv_edition-9,226,11928
"Toshiba 55"" Fire TV Edition",859,38000,61800,54660,5,2,toshiba_55_fire_tv_edition-10,227,7140
"Toshiba 55"" Fire TV Edition",238,38400,63000,50085,3,5,toshiba_55_fire_tv_edition-11,228,12915
"Toshiba 55"" Fire TV Edition",722,39600,65400,45276,1,3,toshiba_55_fire_tv_edition-12,229,20124
"Toshiba 55"" Fire TV Edition",184,39200,66600,46872,1,2,toshiba_55_fire_tv_edition-13,230,19728
"Toshiba 55"" Fire TV Edition",954,34000,60600,46635,3,5,toshiba_55_fire_tv_edition-14,231,13965
"Toshiba 55"" Fire TV Edition",804,36800,66000,39720,1,5,toshiba_55_fire_tv_edition-15,232,26280
"Toshiba 55"" Fire TV Edition",212,37200,69000,59460,4,2,toshiba_55_fire_tv_edition-16,233,9540
"Toshiba 55"" Fire TV Edition",669,34800,63600,50496,3,3,toshiba_55_fire_tv_edition-17,234,13104
"Toshiba 55"" Fire TV Edition",822,35200,63000,55355,5,1,toshiba_55_fire_tv_edition-18,235,7645
"Toshiba 55"" Fire TV Edition",259,37600,60600,50940,3,2,toshiba_55_fire_tv_edition-19,236,9660
"Toshiba 55"" Fire TV Edition",688,39200,63000,53004,3,2,toshiba_55_fire_tv_edition-20,237,9996
"Toshiba 55"" Fire TV Edition",549,38400,64200,57105,5,1,toshiba_55_fire_tv_edition-21,238,7095
"Toshiba 55"" Fire TV Edition",305,39600,63600,52680,3,3,toshiba_55_fire_tv_edition-22,239,10920
"Toshiba 55"" Fire TV Edition",361,37600,68400,56542,3,1,toshiba_55_fire_tv_edition-23,240,11858
"Toshiba 55"" Fire TV Edition",595,34800,60600,52860,5,2,toshiba_55_fire_tv_edition-24,241,7740
"Toshiba 55"" Fire TV Edition",878,34000,60600,39852,1,3,toshiba_55_fire_tv_edition-25,242,20748
"Toshiba 55"" Fire TV Edition",108,34000,61200,52360,5,3,toshiba_55_fire_tv_edition-26,243,8840
"Toshiba 55"" Fire TV Edition",461,36400,66600,55275,5,5,toshiba_55_fire_tv_edition-27,244,11325
"Samsung 75"" QLED 8K TV",84,97000,168000,146700,5,2,samsung_75_qled_8k_tv-0,245,21300
"Samsung 75"" QLED 8K TV",907,92000,169500,127650,2,2,samsung_75_qled_8k_tv-1,246,41850
