name,inventory,min_price,max_price,current_price,rating,strategy,slug,product(fk)
"LG 65"" OLED 4K Ultra HD TV",815,58200,99900,74250,2,3,"lg-65""-oled-4k-ultra-hd-tv-17",48
"LG 65"" OLED 4K Ultra HD TV",366,51000,103500,69000,1,0,"lg-65""-oled-4k-ultra-hd-tv-18",49
"LG 65"" OLED 4K Ultra HD TV",149,52800,91800,72000,2,1,"lg-65""-oled-4k-ultra-hd-tv-19",50
"LG 65"" OLED 4K Ultra HD TV",262,58800,100800,64500,3,4,"lg-65""-oled-4k-ultra-hd-tv-20",51
"LG 65"" OLED 4K Ultra HD TV",777,58200,94500,65250,2,2,"lg-65""-oled-4k-ultra-hd-tv-21",52
"LG 65"" OLED 4K Ultra HD TV",820,55800,100800,63750,5,3,"lg-65""-oled-4k-ultra-hd-tv-22",53
"LG 65"" OLED 4K Ultra HD TV",430,52200,94500,70500,1,0,"lg-65""-oled-4k-ultra-hd-tv-23",54
"Sony 50"" Full HD LED TV",207,28500,46350,33000,3,5,"sony-50""-full-hd-led-tv-0",55
"Sony 50"" Full HD LED TV",793,28500,51300,34875,2,3,"sony-50""-full-hd-led-tv-1",56
"Sony 50"" Full HD LED TV",166,28800,49500,34500,1,2,"sony-50""-full-hd-led-tv-2",57
"Sony 50"" Full HD LED TV",876,26400,49950,36000,1,2,"sony-50""-full-hd-led-tv-3",58
"Sony 50"" Full HD LED TV",199,29100,51300,37125,2,3,"sony-50""-full-hd-led-tv-4",59
"Sony 50"" Full HD LED TV",334,29700,47700,35250,5,1,"sony-50""-full-hd-led-tv-5",60
"Sony 50"" Full HD LED TV",949,29100,49500,31875,5,5,"sony-50""-full-hd-led-tv-6",61
"Sony 50"" Full HD LED TV",229,29400,49500,36750,5,5,"sony-50""-full-hd-led-tv-7",62
"Sony 50"" Full HD LED TV",830,25800,50850,33375,4,4,"sony-50""-full-hd-led-tv-8",63
"Sony 50"" Full HD LED TV",338,29100,49050,33750,5,0,"sony-50""-full-hd-led-tv-9",64
"Sony 50"" Full HD LED TV",47,29100,46350,35625,5,2,"sony-50""-full-hd-led-tv-10",65
"Sony 50"" Full HD LED TV",512,27600,45900,33750,4,4,"sony-50""-full-hd-led-tv-11",66
"Sony 50"" Full HD LED TV",308,27000,48150,36750,4,4,"sony-50""-full-hd-led-tv-12",67
"Sony 50"" Full HD LED TV",868,26700,46350,31875,5,1,"sony-50""-full-hd-led-tv-13",68
"Sony 50"" Full HD LED TV",559,29400,47250,36000,4,3,"sony-50""-full-hd-led-tv-14",69
"Sony 50"" Full HD LED TV",521,26100,49950,33375,1,0,"sony-50""-full-hd-led-tv-15",70
"Sony 50"" Full HD LED TV",943,28200,48600,31875,2,3,"sony-50""-full-hd-led-tv-16",71
"Sony 50"" Full HD LED TV",313,28800,51750,33750,4,4,"sony-50""-full-hd-led-tv-17",72
"Sony 50"" Full HD LED TV",45,25500,47700,34500,4,1,"sony-50""-full-hd-led-tv-18",73
"Sony 50"" Full HD LED TV",276,28500,48600,33375,5,4,"sony-50""-full-hd-led-tv-19",74
"Sony 50"" Full HD LED TV",730,29400,51300,36750,1,1,"sony-50""-full-hd-led-tv-20",75
"TCL 43"" Roku Smart TV",642,22250,43125,30000,2,1,"tcl-43""-roku-smart-tv-0",76
"TCL 43"" Roku Smart TV",324,23750,43125,26563,1,0,"tcl-43""-roku-smart-tv-1",77
"TCL 43"" Roku Smart TV",779,23500,41250,27188,5,1,"tcl-43""-roku-smart-tv-2",78
"TCL 43"" Roku Smart TV",600,21750,39000,30313,2,2,"tcl-43""-roku-smart-tv-3",79
"TCL 43"" Roku Smart TV",173,23500,38625,28750,5,5,"tcl-43""-roku-smart-tv-4",80
"TCL 43"" Roku Smart TV",231,22000,43125,28438,2,0,"tcl-43""-roku-smart-tv-5",81
"TCL 43"" Roku Smart TV",355,22250,42750,28438,4,5,"tcl-43""-roku-smart-tv-6",82
"TCL 43"" Roku Smart TV",410,24750,41250,28438,3,1,"tcl-43""-roku-smart-tv-7",83
"TCL 43"" Roku Smart TV",622,22750,41625,29375,1,1,"tcl-43""-roku-smart-tv-8",84
"TCL 43"" Roku Smart TV",66,22250,41250,30938,3,2,"tcl-43""-roku-smart-tv-9",85
"TCL 43"" Roku Smart TV",964,22750,39750,29375,4,3,"tcl-43""-roku-smart-tv-10",86
"TCL 43"" Roku Smart TV",647,22500,42000,29688,1,3,"tcl-43""-roku-smart-tv-11",87
"TCL 43"" Roku Smart TV",363,24000,40500,28438,1,0,"tcl-43""-roku-smart-tv-12",88
"TCL 43"" Roku Smart TV",666,21250,43125,27500,1,2,"tcl-43""-roku-smart-tv-13",89
"TCL 43"" Roku Smart TV",523,22750,39375,29688,4,1,"tcl-43""-roku-smart-tv-14",90
"TCL 43"" Roku Smart TV",528,24500,38625,30313,4,0,"tcl-43""-roku-smart-tv-15",91
"TCL 43"" Roku Smart TV",437,24250,41625,27500,2,3,"tcl-43""-roku-smart-tv-16",92
"TCL 43"" Roku Smart TV",196,22250,38625,29063,2,0,"tcl-43""-roku-smart-tv-17",93
"TCL 43"" Roku Smart TV",983,22000,42375,30000,5,3,"tcl-43""-roku-smart-tv-18",94
"TCL 43"" Roku Smart TV",645,24000,41625,27813,3,2,"tcl-43""-roku-smart-tv-19",95
"TCL 43"" Roku Smart TV",287,21750,42750,28438,2,2,"tcl-43""-roku-smart-tv-20",96
"Vizio 60"" 4K HDR Smart TV",726,42300,76950,52875,1,5,"vizio-60""-4k-hdr-smart-tv-0",97
"Vizio 60"" 4K HDR Smart TV",744,42750,68850,50063,3,0,"vizio-60""-4k-hdr-smart-tv-1",98
"Vizio 60"" 4K HDR Smart TV",918,41400,70875,48375,4,1,"vizio-60""-4k-hdr-smart-tv-2",99
"Vizio 60"" 4K HDR Smart TV",742,42750,68850,50625,4,1,"vizio-60""-4k-hdr-smart-tv-3",100
"Vizio 60"" 4K HDR Smart TV",238,44100,72225,54000,1,4,"vizio-60""-4k-hdr-smart-tv-4",101
"Vizio 60"" 4K HDR Smart TV",754,44100,70875,52313,3,2,"vizio-60""-4k-hdr-smart-tv-5",102
"Vizio 60"" 4K HDR Smart TV",217,39150,76275,48938,2,2,"vizio-60""-4k-hdr-smart-tv-6",103
"Vizio 60"" 4K HDR Smart TV",171,41850,75600,52875,3,4,"vizio-60""-4k-hdr-smart-tv-7",104
"Vizio 60"" 4K HDR Smart TV",907,43650,72900,49500,2,3,"vizio-60""-4k-hdr-smart-tv-8",105
"Vizio 60"" 4K HDR Smart TV",27,42300,76950,50625,2,2,"vizio-60""-4k-hdr-smart-tv-9",106
"Vizio 60"" 4K HDR Smart TV",548,43650,68175,49500,1,5,"vizio-60""-4k-hdr-smart-tv-10",107
"Vizio 60"" 4K HDR Smart TV",935,41400,73575,51188,3,4,"vizio-60""-4k-hdr-smart-tv-11",108
"Vizio 60"" 4K HDR Smart TV",345,41850,70875,50063,4,3,"vizio-60""-4k-hdr-smart-tv-12",109
"Vizio 60"" 4K HDR Smart TV",650,39150,71550,55688,2,3,"vizio-60""-4k-hdr-smart-tv-13",110
"Vizio 60"" 4K HDR Smart TV",747,43650,72900,48938,1,5,"vizio-60""-4k-hdr-smart-tv-14",111
"Vizio 60"" 4K HDR Smart TV",953,41400,69525,51750,4,0,"vizio-60""-4k-hdr-smart-tv-15",112
"Vizio 60"" 4K HDR Smart TV",210,41850,68175,52313,3,4,"vizio-60""-4k-hdr-smart-tv-16",113
"Vizio 60"" 4K HDR Smart TV",165,42300,69525,49500,5,0,"vizio-60""-4k-hdr-smart-tv-17",114
"Vizio 60"" 4K HDR Smart TV",564,39600,73575,48938,3,2,"vizio-60""-4k-hdr-smart-tv-18",115
"Vizio 60"" 4K HDR Smart TV",181,40500,69525,50063,1,5,"vizio-60""-4k-hdr-smart-tv-19",116
"Vizio 60"" 4K HDR Smart TV",545,39600,74925,52875,2,0,"vizio-60""-4k-hdr-smart-tv-20",117
"Vizio 60"" 4K HDR Smart TV",507,41400,73575,50625,2,0,"vizio-60""-4k-hdr-smart-tv-21",118
"Vizio 60"" 4K HDR Smart TV",170,41850,75600,51188,1,4,"vizio-60""-4k-hdr-smart-tv-22",119
"Vizio 60"" 4K HDR Smart TV",914,39150,77625,48375,3,5,"vizio-60""-4k-hdr-smart-tv-23",120
"Vizio 60"" 4K HDR Smart TV",318,43200,74250,55688,5,3,"vizio-60""-4k-hdr-smart-tv-24",121
"Vizio 60"" 4K HDR Smart TV",369,44100,70200,48938,2,4,"vizio-60""-4k-hdr-smart-tv-25",122
"Vizio 60"" 4K HDR Smart TV",864,44550,72225,54000,5,1,"vizio-60""-4k-hdr-smart-tv-26",123
"Vizio 60"" 4K HDR Smart TV",843,42750,74925,52313,5,1,"vizio-60""-4k-hdr-smart-tv-27",124
"Vizio 60"" 4K HDR Smart TV",934,44100,68175,52875,1,3,"vizio-60""-4k-hdr-smart-tv-28",125
"Vizio 60"" 4K HDR Smart TV",748,43200,68850,48375,5,5,"vizio-60""-4k-hdr-smart-tv-29",126
"Hisense 55"" 4K Android TV",818,37600,65400,45000,3,1,"hisense-55""-4k-android-tv-0",127
"Hisense 55"" 4K Android TV",306,36800,66600,42500,2,5,"hisense-55""-4k-android-tv-1",128
"Hisense 55"" 4K Android TV",612,36000,61200,48500,3,0,"hisense-55""-4k-android-tv-2",129
"Hisense 55"" 4K Android TV",21,37200,64200,47000,3,5,"hisense-55""-4k-android-tv-3",130
"Hisense 55"" 4K Android TV",985,37200,69000,43500,2,1,"hisense-55""-4k-android-tv-4",131
"Hisense 55"" 4K Android TV",37,35600,67200,44500,4,4,"hisense-55""-4k-android-tv-5",132
"Hisense 55"" 4K Android TV",761,37600,66600,45000,5,3,"hisense-55""-4k-android-tv-6",133
"Hisense 55"" 4K Android TV",870,35200,66600,47500,5,2,"hisense-55""-4k-android-tv-7",134
"Hisense 55"" 4K Android TV",751,35200,68400,43500,2,4,"hisense-55""-4k-android-tv-8",135
"Hisense 55"" 4K Android TV",264,36400,60600,43500,4,3,"hisense-55""-4k-android-tv-9",136
"Hisense 55"" 4K Android TV",794,36800,63000,47500,2,2,"hisense-55""-4k-android-tv-10",137
"Hisense 55"" 4K Android TV",969,37200,60600,43000,4,5,"hisense-55""-4k-android-tv-11",138
"Hisense 55"" 4K Android TV",826,37200,68400,45500,2,4,"hisense-55""-4k-android-tv-12",139
"Hisense 55"" 4K Android TV",322,38800,61200,45500,2,3,"hisense-55""-4k-android-tv-13",140
"Hisense 55"" 4K Android TV",900,34800,64200,43500,3,0,"hisense-55""-4k-android-tv-14",141
"Hisense 55"" 4K Android TV",343,35600,63600,44000,3,1,"hisense-55""-4k-android-tv-15",142
"Hisense 55"" 4K Android TV",984,36400,66000,46000,2,4,"hisense-55""-4k-android-tv-16",143
"Hisense 55"" 4K Android TV",565,38400,64800,48500,2,1,"hisense-55""-4k-android-tv-17",144
"Hisense 55"" 4K Android TV",32,34000,61800,46000,1,0,"hisense-55""-4k-android-tv-18",145
"Hisense 55"" 4K Android TV",634,34400,69000,48000,1,1,"hisense-55""-4k-android-tv-19",146
"Hisense 55"" 4K Android TV",941,34400,64800,44000,4,3,"hisense-55""-4k-android-tv-20",147
"Hisense 55"" 4K Android TV",210,36000,67200,44000,2,4,"hisense-55""-4k-android-tv-21",148
"Hisense 55"" 4K Android TV",262,36800,67200,46000,3,1,"hisense-55""-4k-android-tv-22",149
"Hisense 55"" 4K Android TV",38,34400,69000,46500,1,4,"hisense-55""-4k-android-tv-23",150
"Philips 70"" 4K HDR TV",653,67900,117600,76125,3,4,"philips-70""-4k-hdr-tv-0",151
"Philips 70"" 4K HDR TV",604,66500,113400,77000,5,4,"philips-70""-4k-hdr-tv-1",152
"Philips 70"" 4K HDR TV",985,66500,116550,86625,4,0,"philips-70""-4k-hdr-tv-2",153
"Philips 70"" 4K HDR TV",344,59500,109200,84000,2,5,"philips-70""-4k-hdr-tv-3",154
"Philips 70"" 4K HDR TV",478,60200,118650,78750,2,2,"philips-70""-4k-hdr-tv-4",155
"Philips 70"" 4K HDR TV",765,64400,114450,79625,5,5,"philips-70""-4k-hdr-tv-5",156
"Philips 70"" 4K HDR TV",795,60200,117600,82250,3,1,"philips-70""-4k-hdr-tv-6",157
"Philips 70"" 4K HDR TV",368,67900,115500,77875,3,5,"philips-70""-4k-hdr-tv-7",158
"Philips 70"" 4K HDR TV",659,63700,108150,77000,3,5,"philips-70""-4k-hdr-tv-8",159
"Philips 70"" 4K HDR TV",389,66500,110250,75250,1,5,"philips-70""-4k-hdr-tv-9",160
"Philips 70"" 4K HDR TV",318,60200,118650,84875,4,1,"philips-70""-4k-hdr-tv-10",161
"Philips 70"" 4K HDR TV",294,63700,118650,75250,1,4,"philips-70""-4k-hdr-tv-11",162
"Philips 70"" 4K HDR TV",305,65100,108150,77875,5,3,"philips-70""-4k-hdr-tv-12",163
"Philips 70"" 4K HDR TV",220,66500,120750,81375,3,2,"philips-70""-4k-hdr-tv-13",164
"Philips 70"" 4K HDR TV",891,65100,109200,77000,5,2,"philips-70""-4k-hdr-tv-14",165
"Philips 70"" 4K HDR TV",995,60900,111300,74375,3,0,"philips-70""-4k-hdr-tv-15",166
"Philips 70"" 4K HDR TV",387,69300,110250,80500,2,0,"philips-70""-4k-hdr-tv-16",167
"Philips 70"" 4K HDR TV",248,69300,120750,82250,5,1,"philips-70""-4k-hdr-tv-17",168
"Philips 70"" 4K HDR TV",151,59500,108150,77875,4,5,"philips-70""-4k-hdr-tv-18",169
"Philips 70"" 4K HDR TV",111,63700,107100,84000,5,0,"philips-70""-4k-hdr-tv-19",170
"Philips 70"" 4K HDR TV",617,67200,118650,83125,1,2,"philips-70""-4k-hdr-tv-20",171
"Philips 70"" 4K HDR TV",659,60200,108150,84875,5,1,"philips-70""-4k-hdr-tv-21",172
"Philips 70"" 4K HDR TV",932,65800,107100,83125,2,1,"philips-70""-4k-hdr-tv-22",173
"Philips 70"" 4K HDR TV",448,63000,113400,75250,2,2,"philips-70""-4k-hdr-tv-23",174
"Panasonic 65"" 4K Ultra HD TV",30,52800,96300,67500,4,5,"panasonic-65""-4k-ultra-hd-tv-0",175
"Panasonic 65"" 4K Ultra HD TV",529,51600,101700,72750,5,3,"panasonic-65""-4k-ultra-hd-tv-1",176
"Panasonic 65"" 4K Ultra HD TV",458,55800,93600,71250,4,4,"panasonic-65""-4k-ultra-hd-tv-2",177
"Panasonic 65"" 4K Ultra HD TV",205,54600,97200,69000,4,3,"panasonic-65""-4k-ultra-hd-tv-3",178
"Panasonic 65"" 4K Ultra HD TV",783,54600,101700,65250,5,4,"panasonic-65""-4k-ultra-hd-tv-4",179
"Panasonic 65"" 4K Ultra HD TV",959,57600,99000,63750,5,5,"panasonic-65""-4k-ultra-hd-tv-5",180
"Panasonic 65"" 4K Ultra HD TV",542,56400,98100,70500,2,5,"panasonic-65""-4k-ultra-hd-tv-6",181
"Panasonic 65"" 4K Ultra HD TV",747,57600,99900,71250,3,0,"panasonic-65""-4k-ultra-hd-tv-7",182
"Panasonic 65"" 4K Ultra HD TV",194,53400,92700,66750,1,0,"panasonic-65""-4k-ultra-hd-tv-8",183
"Panasonic 65"" 4K Ultra HD TV",792,58200,99000,70500,4,0,"panasonic-65""-4k-ultra-hd-tv-9",184
"Panasonic 65"" 4K Ultra HD TV",20,51600,94500,70500,5,3,"panasonic-65""-4k-ultra-hd-tv-10",185
"Panasonic 65"" 4K Ultra HD TV",527,55200,93600,67500,5,1,"panasonic-65""-4k-ultra-hd-tv-11",186
"Panasonic 65"" 4K Ultra HD TV",594,57600,102600,65250,4,1,"panasonic-65""-4k-ultra-hd-tv-12",187
"Panasonic 65"" 4K Ultra HD TV",982,55200,91800,69000,5,4,"panasonic-65""-4k-ultra-hd-tv-13",188
"Panasonic 65"" 4K Ultra HD TV",650,55800,100800,74250,5,1,"panasonic-65""-4k-ultra-hd-tv-14",189
"Panasonic 65"" 4K Ultra HD TV",520,52800,97200,68250,4,4,"panasonic-65""-4k-ultra-hd-tv-15",190
"Panasonic 65"" 4K Ultra HD TV",500,58200,97200,66750,3,3,"panasonic-65""-4k-ultra-hd-tv-16",191
"Panasonic 65"" 4K Ultra HD TV",364,55200,97200,68250,5,4,"panasonic-65""-4k-ultra-hd-tv-17",192
"Panasonic 65"" 4K Ultra HD TV",777,58200,91800,70500,3,5,"panasonic-65""-4k-ultra-hd-tv-18",193
"Panasonic 65"" 4K Ultra HD TV",784,57600,100800,69000,1,4,"panasonic-65""-4k-ultra-hd-tv-19",194
"Sharp 50"" 4K Android TV",859,34300,54600,40250,5,5,"sharp-50""-4k-android-tv-0",195
"Sharp 50"" 4K Android TV",745,33950,54600,43313,3,2,"sharp-50""-4k-android-tv-1",196
"Sharp 50"" 4K Android TV",998,32550,59850,41563,3,0,"sharp-50""-4k-android-tv-2",197
"Sharp 50"" 4K Android TV",643,30800,56175,41563,2,1,"sharp-50""-4k-android-tv-3",198
"Sharp 50"" 4K Android TV",500,30800,56700,38063,2,4,"sharp-50""-4k-android-tv-4",199
"Sharp 50"" 4K Android TV",406,30450,58275,41563,2,4,"sharp-50""-4k-android-tv-5",200
"Sharp 50"" 4K Android TV",577,29750,56700,41125,2,5,"sharp-50""-4k-android-tv-6",201
"Sharp 50"" 4K Android TV",824,33600,53550,43313,3,2,"sharp-50""-4k-android-tv-7",202
"Sharp 50"" 4K Android TV",54,30800,53550,39375,2,3,"sharp-50""-4k-android-tv-8",203
"Sharp 50"" 4K Android TV",103,31850,53025,38063,5,5,"sharp-50""-4k-android-tv-9",204
"Sharp 50"" 4K Android TV",362,32200,60375,42438,4,1,"sharp-50""-4k-android-tv-10",205
"Sharp 50"" 4K Android TV",83,31850,55125,42438,1,4,"sharp-50""-4k-android-tv-11",206
"Sharp 50"" 4K Android TV",1000,34300,59325,40688,5,4,"sharp-50""-4k-android-tv-12",207
"Sharp 50"" 4K Android TV",179,31850,57225,43313,5,3,"sharp-50""-4k-android-tv-13",208
"Sharp 50"" 4K Android TV",198,31850,57225,39375,3,4,"sharp-50""-4k-android-tv-14",209
"Sharp 50"" 4K Android TV",337,34300,55125,41563,2,3,"sharp-50""-4k-android-tv-15",210
"Sharp 50"" 4K Android TV",266,33950,55125,42000,5,0,"sharp-50""-4k-android-tv-16",211
"Sharp 50"" 4K Android TV",625,33600,54075,38500,1,1,"sharp-50""-4k-android-tv-17",212
"Sharp 50"" 4K Android TV",609,32200,56700,38500,4,2,"sharp-50""-4k-android-tv-18",213
"Sharp 50"" 4K Android TV",396,34650,58800,38938,3,4,"sharp-50""-4k-android-tv-19",214
"Sharp 50"" 4K Android TV",471,30100,55650,40688,5,5,"sharp-50""-4k-android-tv-20",215
"Sharp 50"" 4K Android TV",37,31150,58800,38500,2,3,"sharp-50""-4k-android-tv-21",216
"Sharp 50"" 4K Android TV",666,31150,53550,40250,4,0,"sharp-50""-4k-android-tv-22",217
"Toshiba 55"" Fire TV Edition",26,36000,63000,44000,5,0,"toshiba-55""-fire-tv-edition-0",218
"Toshiba 55"" Fire TV Edition",151,37200,68400,49500,5,3,"toshiba-55""-fire-tv-edition-1",219
"Toshiba 55"" Fire TV Edition",718,38800,60600,44500,3,1,"toshiba-55""-fire-tv-edition-2",220
"Toshiba 55"" Fire TV Edition",314,35600,66600,44000,3,0,"toshiba-55""-fire-tv-edition-3",221
"Toshiba 55"" Fire TV Edition",574,35200,69000,44500,1,0,"toshiba-55""-fire-tv-edition-4",222
"Toshiba 55"" Fire TV Edition",247,37200,66000,47500,3,5,"toshiba-55""-fire-tv-edition-5",223
"Toshiba 55"" Fire TV Edition",175,38400,64200,46500,3,4,"toshiba-55""-fire-tv-edition-6",224
"Toshiba 55"" Fire TV Edition",606,35200,63000,49500,4,5,"toshiba-55""-fire-tv-edition-7",225
"Toshiba 55"" Fire TV Edition",444,37600,67200,44000,2,0,"toshiba-55""-fire-tv-edition-8",226
"Toshiba 55"" Fire TV Edition",530,39200,68400,45500,2,1,"toshiba-55""-fire-tv-edition-9",227
"Toshiba 55"" Fire TV Edition",71,35600,60600,46500,3,2,"toshiba-55""-fire-tv-edition-10",228
"Toshiba 55"" Fire TV Edition",885,34000,63000,43000,2,0,"toshiba-55""-fire-tv-edition-11",229
"Toshiba 55"" Fire TV Edition",102,34000,64800,48500,5,3,"toshiba-55""-fire-tv-edition-12",230
"Toshiba 55"" Fire TV Edition",426,38400,68400,49500,3,0,"toshiba-55""-fire-tv-edition-13",231
"Toshiba 55"" Fire TV Edition",553,37600,61200,44000,5,1,"toshiba-55""-fire-tv-edition-14",232
"Toshiba 55"" Fire TV Edition",507,36000,60600,47500,1,2,"toshiba-55""-fire-tv-edition-15",233
"Toshiba 55"" Fire TV Edition",964,34400,61800,48500,1,1,"toshiba-55""-fire-tv-edition-16",234
"Toshiba 55"" Fire TV Edition",48,37200,61200,46500,1,1,"toshiba-55""-fire-tv-edition-17",235
"Toshiba 55"" Fire TV Edition",696,36800,69000,43000,5,4,"toshiba-55""-fire-tv-edition-18",236
"Toshiba 55"" Fire TV Edition",508,38000,61200,47500,4,4,"toshiba-55""-fire-tv-edition-19",237
"Toshiba 55"" Fire TV Edition",78,39200,67200,43500,3,1,"toshiba-55""-fire-tv-edition-20",238
"Toshiba 55"" Fire TV Edition",73,38800,66000,44500,2,5,"toshiba-55""-fire-tv-edition-21",239
"Toshiba 55"" Fire TV Edition",123,35200,63000,47500,2,2,"toshiba-55""-fire-tv-edition-22",240
"Toshiba 55"" Fire TV Edition",489,37200,66600,44000,1,5,"toshiba-55""-fire-tv-edition-23",241
"Samsung 75"" QLED 8K TV",205,88000,166500,120000,3,3,"samsung-75""-qled-8k-tv-0",242
"Samsung 75"" QLED 8K TV",884,86000,159000,107500,5,5,"samsung-75""-qled-8k-tv-1",243
"Samsung 75"" QLED 8K TV",799,91000,159000,115000,3,3,"samsung-75""-qled-8k-tv-2",244
"Samsung 75"" QLED 8K TV",356,85000,159000,112500,1,0,"samsung-75""-qled-8k-tv-3",245
"Samsung 75"" QLED 8K TV",749,91000,151500,121250,3,2,"samsung-75""-qled-8k-tv-4",246
"Samsung 75"" QLED 8K TV",370,86000,160500,107500,4,5,"samsung-75""-qled-8k-tv-5",247
"Samsung 75"" QLED 8K TV",484,87000,159000,110000,2,1,"samsung-75""-qled-8k-tv-6",248
"Samsung 75"" QLED 8K TV",199,92000,156000,113750,4,0,"samsung-75""-qled-8k-tv-7",249
"Samsung 75"" QLED 8K TV",898,86000,171000,113750,5,5,"samsung-75""-qled-8k-tv-8",250
